team_rankings_team_short,team_rankings_team_long,espn_team_slug,espn_team_id,espn_team_name
Abl Christian,abilene-christian-wildcats,abilene-christian-wildcats,2000,Abilene Christian Wildcats
Air Force,air-force-falcons,air-force-falcons,2005,Air Force Falcons
Akron,akron-zips,akron-zips,2006,Akron Zips
Alabama A&M,alabama-am-bulldogs,alabama-am-bulldogs,2010,Alabama Am Bulldogs
Alabama,alabama-crimson-tide,alabama-crimson-tide,333,Alabama Crimson Tide
Alabama St,alabama-st-hornets,alabama-state-hornets,2011,Alabama State Hornets
Albany,albany-great-danes,ualbany-great-danes,399,Ualbany Great Danes
Alcorn State,alcorn-st-braves,alcorn-state-braves,2016,Alcorn State Braves
American,american-eagles,american-university-eagles,44,American University Eagles
App State,appalachian-st-mountaineers,app-state-mountaineers,2026,App State Mountaineers
Little Rock,little-rock-trojans,little-rock-trojans,2031,Little Rock Trojans
Arizona,arizona-wildcats,arizona-wildcats,12,Arizona Wildcats
Arizona St,arizona-state-sun-devils,arizona-state-sun-devils,9,Arizona State Sun Devils
AR-Pine Bluff,arkansas-pine-bluff-golden-lions,arkansas-pine-bluff-golden-lions,2029,Arkansas Pine Bluff Golden Lions
Arkansas,arkansas-razorbacks,arkansas-razorbacks,8,Arkansas Razorbacks
Arkansas St,arkansas-st-red-wolves,arkansas-state-red-wolves,2032,Arkansas State Red Wolves
Army,army-black-knights,army-black-knights,349,Army Black Knights
Auburn,auburn-tigers,auburn-tigers,2,Auburn Tigers
Austin Peay,austin-peay-governors,austin-peay-governors,2046,Austin Peay Governors
Ball State,ball-st-cardinals,ball-state-cardinals,2050,Ball State Cardinals
Baylor,baylor-bears,baylor-bears,239,Baylor Bears
Bellarmine,bellarmine-knights,bellarmine-knights,91,Bellarmine Knights
Belmont,belmont-bruins,belmont-bruins,2057,Belmont Bruins
Binghamton,binghamton-bearcats,binghamton-bearcats,2066,Binghamton Bearcats
Boise State,boise-st-broncos,boise-state-broncos,68,Boise State Broncos
Boston College,boston-college-eagles,boston-college-eagles,103,Boston College Eagles
Boston U,boston-u-terriers,boston-university-terriers,104,Boston University Terriers
Bowling Green,bowling-green-falcons,bowling-green-falcons,189,Bowling Green Falcons
Bradley,bradley-braves,bradley-braves,71,Bradley Braves
Bryant,bryant-bulldogs,bryant-bulldogs,2803,Bryant Bulldogs
Bucknell,bucknell-bison,bucknell-bison,2083,Bucknell Bison
Buffalo,buffalo-bulls,buffalo-bulls,2084,Buffalo Bulls
Butler,butler-bulldogs,butler-bulldogs,2086,Butler Bulldogs
BYU,brigham-young-cougars,byu-cougars,252,Byu Cougars
Cal Baptist,california-baptist-lancers,california-baptist-lancers,2856,California Baptist Lancers
Cal Poly,cal-poly-slo-mustangs,cal-poly-mustangs,13,Cal Poly Mustangs
Cal St Nrdge,csu-northridge-matadors,cal-state-northridge-matadors,2463,Cal State Northridge Matadors
California,california-golden-bears,california-golden-bears,25,California Golden Bears
Campbell,campbell-fighting-camels,campbell-fighting-camels,2097,Campbell Fighting Camels
Canisius,canisius-golden-griffins,canisius-golden-griffins,2099,Canisius Golden Griffins
C Arkansas,central-arkansas-bears,central-arkansas-bears,2110,Central Arkansas Bears
Central Conn,central-conn-st-blue-devils,central-connecticut-blue-devils,2115,Central Connecticut Blue Devils
Central FL,central-florida-knights,ucf-knights,2116,Ucf Knights
C Michigan,central-michigan-chippewas,central-michigan-chippewas,2117,Central Michigan Chippewas
Charleston So,charleston-southern-buccaneers,charleston-southern-buccaneers,2127,Charleston Southern Buccaneers
Charlotte,charlotte-49ers,charlotte-49ers,2429,Charlotte 49Ers
Chattanooga,chattanooga-mocs,chattanooga-mocs,236,Chattanooga Mocs
Chicago St,chicago-st-cougars,chicago-state-cougars,2130,Chicago State Cougars
Cincinnati,cincinnati-bearcats,cincinnati-bearcats,2132,Cincinnati Bearcats
The Citadel,the-citadel-bulldogs,the-citadel-bulldogs,2643,The Citadel Bulldogs
Clemson,clemson-tigers,clemson-tigers,228,Clemson Tigers
Cleveland St,cleveland-st-vikings,cleveland-state-vikings,325,Cleveland State Vikings
Coastal Car,coastal-carolina-chanticleers,coastal-carolina-chanticleers,324,Coastal Carolina Chanticleers
Charleston,charleston-cougars,charleston-cougars,232,Charleston Cougars
Colgate,colgate-raiders,colgate-raiders,2142,Colgate Raiders
Colorado,colorado-buffaloes,colorado-buffaloes,38,Colorado Buffaloes
Colorado St,colorado-st-rams,colorado-state-rams,36,Colorado State Rams
UConn,connecticut-huskies,uconn-huskies,41,Uconn Huskies
Coppin State,coppin-st-eagles,coppin-state-eagles,2154,Coppin State Eagles
Creighton,creighton-bluejays,creighton-bluejays,156,Creighton Bluejays
CS Bakersfld,csu-bakersfield-roadrunners,cal-state-bakersfield-roadrunners,2934,Cal State Bakersfield Roadrunners
CS Fullerton,csu-fullerton-titans,cal-state-fullerton-titans,2239,Cal State Fullerton Titans
Davidson,davidson-wildcats,davidson-wildcats,2166,Davidson Wildcats
Dayton,dayton-flyers,dayton-flyers,2168,Dayton Flyers
Delaware,delaware-blue-hens,delaware-blue-hens,48,Delaware Blue Hens
Delaware St,delaware-state-hornets,delaware-state-hornets,2169,Delaware State Hornets
Denver,denver-pioneers,denver-pioneers,2172,Denver Pioneers
DePaul,depaul-blue-demons,depaul-blue-demons,305,Depaul Blue Demons
Detroit Mercy,detroit-mercy-titans,detroit-mercy-titans,2174,Detroit Mercy Titans
Drake,drake-bulldogs,drake-bulldogs,2181,Drake Bulldogs
Drexel,drexel-dragons,drexel-dragons,2182,Drexel Dragons
Duke,duke-blue-devils,duke-blue-devils,150,Duke Blue Devils
Duquesne,duquesne-dukes,duquesne-dukes,2184,Duquesne Dukes
E Carolina,east-carolina-pirates,east-carolina-pirates,151,East Carolina Pirates
E Illinois,eastern-illinois-panthers,eastern-illinois-panthers,2197,Eastern Illinois Panthers
E Kentucky,eastern-kentucky-colonels,eastern-kentucky-colonels,2198,Eastern Kentucky Colonels
E Michigan,eastern-michigan-eagles,eastern-michigan-eagles,2199,Eastern Michigan Eagles
E Tenn St,east-tennessee-st-buccaneers,east-tennessee-state-buccaneers,2193,East Tennessee State Buccaneers
E Washington,eastern-washington-eagles,eastern-washington-eagles,331,Eastern Washington Eagles
